numThreads,speedup
1,1.00
2,1.69
3,2.20
4,2.60
5,2.98
6,3.40
7,3.83
8,4.25
9,4.68
10,5.09
11,5.49
12,5.88
13,6.31
14,6.73
15,7.08
16,7.48
17,7.72
18,8.06
19,8.35
20,8.71
21,9.20
22,9.67
23,10.02
24,10.35
25,10.70
26,11.10
27,11.58
28,12.05
29,12.32
30,12.56
31,13.08
32,13.39
33,13.57
34,14.01
35,14.04
36,14.47
37,14.62
38,14.54
39,15.02
40,15.42
41,14.96
42,15.68
43,15.70
44,15.18
45,17.41
46,16.39
47,17.12
48,15.81
49,15.72
50,18.49
51,17.25
52,18.13
53,15.13
54,16.42
55,14.77
56,14.32
57,16.41
58,14.14
59,16.44
60,15.59
61,16.58
62,14.86
63,17.06
64,16.64
