numThreads,speedup
1,1.00
2,1.96
3,2.92
4,3.87
5,4.86
6,5.47
7,5.89
8,7.16
9,8.29
10,8.92
11,9.46
12,10.85
13,12.10
14,13.16
15,13.69
16,14.63
17,14.37
18,15.02
19,15.65
20,16.44
21,16.77
22,17.74
23,18.62
24,18.80
25,19.03
26,19.14
27,21.19
28,22.34
29,22.81
30,22.91
31,24.21
32,25.06
33,18.50
34,18.88
35,17.70
36,16.43
37,18.32
38,19.47
39,18.22
40,18.54
41,16.86
42,17.58
43,18.32
44,19.08
45,19.38
46,18.34
47,17.99
48,18.16
49,16.24
50,17.02
51,15.92
52,16.82
53,18.93
54,17.90
55,18.67
56,16.00
57,16.44
58,15.56
59,16.50
60,16.99
61,16.46
62,23.04
63,18.37
64,20.07
